benchmark,seed,project_id,base_model_id,model_id,solution
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_2,42,6576da2fc7d0140d59321cfd,6576daa28f202b08e73332b8,6576db01d96158918e333419,37.0251895905777 + 0.977742726906165*x1^2*x3^2 + 0.735416181386461*x1*x3^3 + 0.30884053339154*x1^2*x2*x3*sin(x2) - 1.91918242284689*x1*x2*x3^2 - 0.359632629927262*x1^3*sin(x2)^2
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_1,42,6576da2ff13bbf637cef8026,6576da988e3b9e44c338d795,6576db0b7399daadae6e7976,4.84014330851823*x2^2 + 0.966840686857107*sin(x3)*exp(x1) + -2.7641725977995*sin(x3)^2*exp(x1)/x1 - 4.92284034415718 - 0.39303155746569*x1 - 1.12597740524925*exp(x1)
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_3,42,6576dc717fce32b668b7c348,6576dcdab38032747f38d838,6576dd43210a1f25316e791f,9.11432903652609 + 24.283406943168*x1 + 2.96321987719921*x3 + 0.993273542883014*exp(x1) + -11.1612661525844*x1/(x2*x3)
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_4,42,6576dc99cd78935d6cef84c2,6576dd11ec5f8dd178333424,6576de7513197188d638d693,0.999219429536691*x1 + 0.381882691502432*x3 + 0.291126537091862*x2*x3 + 0.0313158585168499*x2^2 + 0.000964165042263276*x1*x2 - 1.60842575199695 - 0.119421362296647*x2 - 0.0134594784235822*x3^2
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_5,42,6576df708c59dae276b7c463,6576dfd9116dd3be2d6e77e2,6576e0c764d4aa624533336d,x2*x3^4/x1 - 2.24*x1^3*x3 - 0.999999999999999*x2*x3^4
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_6,42,6576e0039fd129e6d3ef8348,6576e07c3374f8f02e38d698,6576e0db3374f8f02e38d76d,1.40144395092921*x1^2*sin(exp(x2))/sqrt(x3) - 6.03542621398833
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_7,42,6576e1cc6a7bc51fdc3216dc,6576e244fd15660daa333218,6576e31f86e50dfbe238d616,2.07674513108127 + 2.01210802033042*x3 + 1.00053706852242*x1*x2 + 1.04508507504406*x1^2*x3 + 1.00017558889674*x1*x3^2 - 0.487938553313843*x1*x3
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_9,42,6576e2faf13bbf637cef80bd,6576e373373db6d2ec6e780e,6576e3dc373db6d2ec6e791c,0.0627363077476139*x2^2/x3 + -1.6267985336323e-5*x1^3*x2^4*cos(x2)/(x3^2) - 1.33468362957155
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_10,42,6576e4136a7bc51fdc32170b,6576e482975c3a271138d825,6576e575373db6d2ec6e7c3e,5.06026600552478*x2 + 2.60433125298097*x1*x3 + 0.292365851603554*x2^2*x3 + 0.00594276969040165*x1^2*x2*x3 + -4.072845135055*x2*x3/x1 - 1.33761775773362 - 1.59187380177647*x1*x2 - 2.45883645357261*x1^2 - 0.157009102320702*x1*x2^2
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_11,42,6576e50e8c59dae276b7c4c8,6576e586373db6d2ec6e7c5b,6576e5d6cef2cf285533310a,4.83*x1 + x1/x2 - 3.83*x3 - 3.83*x2
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_12,42,6576e6ac9fd129e6d3ef8376,6576e71a90bb2118506e7bc6,6576e76fcef2cf28553332cb,3.18 + 1*x2 + 1*x3 - 1.35*x1*x2^2
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_13,42,6576e71c9970406056ef7f66,6576e78acef2cf28553332e6,6576e7f8c9b53d529e38d78f,886.233636211458 + 3132249.96096755*exp(x3 + cos(x2) + sin(cos(x2)) - 14.7766686899225)/sin(x1)
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_14,42,6576e8918c59dae276b7c50c,6576e90affa3a275bb6e78ce,6576e9975527ef200a6e788e,2.27930877188543 + 0.362211248275746*x2 + 1.0311790343692*x1*x2^2 + 0.963644632124266*x1*x2^3 - 1.49475563406727*x3 - 1.04930174840001*x1*x2^2*x3
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_15,42,6576e93fa98570e94ab7c4cd,6576e9b2e3ec2fea2938d6b1,6576ea4f0bea529a2938d74a,3.98018645823302 + 1.85639540596593*log(sqrt(x1*x3))/(x2^2) - 0.31130231955351*x3 - 4.68933832945805*x2^2*x3
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_16,42,6576eb1f7fce32b668b7c3a4,6576eb922ad0d94dfc6e7c3b,6576ec43d1b34987a6333334,4.35384495271187e37
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_17,42,6576eb4d8c59dae276b7c57d,6576ebbbd1b34987a6333262,6576ec3ed1b34987a633331e,0.826552742403777 + 3.3805790787495*x2 + 1.00114216710422*x3 + 0.513037883696403*x1*x2*sin(4.2063660236154*x1) - 3.31554578532333*x1
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_18,42,6576ec9d9970406056ef8010,6576ed11d1b34987a63334ef,6576ed9fc82ac4a94a3330bc,x1 + x2*x3 - 3.03*sqrt(x3)
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_19,42,6576ed3c6a7bc51fdc3217b2,6576edb4c815d6259f38d83c,6576ee6acd1d21ad7b6e7b8f,1.05064935977042*x1*x3 + 0.328571966587922*x2*x3 + 7.14611494442166*x1*x2^2 + 0.986940310174798*x2^2*x3 - 0.188168529117267
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_20,42,6576ee847fce32b668b7c3b2,6576eef8c82ac4a94a3332d6,6576ef959ad10d521c6e7aa4,0.999921972163573*x1 + 0.234746106425979*x2 + 0.0391138182145144*x3*log(x3)*sqrt(x2) - 3.7698749517165 - 0.528354753202548*log(x3)*sqrt(x2)
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_21,42,6576ef548c59dae276b7c5f3,6576efbeea8c80b8b86e7798,6576f04f60db1cfe80333138,0.467695303141392 + 1.35702296160788*x1 + 0.667654622437559*x2 - 0.758328459523871*cos(sqrt(x3)) - 0.976623208839795*x1^2*x3 - 0.780256960332349*x2*cos(sqrt(x1))
/home/jiangnan/PycharmProjects/scibench/data/unencrypted/equations_livermore2/Livermore2_Vars3_22,42,6576f0d6e4717aa70cb7c55c,6576f149a13763002f333270,6576f1c64b70f46c5538d699,0.228721612493946 + 0.960321801430465*x3 + 0.567263192916982*sin(x1 + x2)*cos(0.917276888114698*x3)
